,up,down,left,right
"(0,,)",-487.0,-287.0,-487.0,-287.0
"(0,,)",-287.0,-87.0,-487.0,-288.0
"(0,,)",-288.0,-88.0,-287.0,-289.0
"(0,,)",-289.0,-89.0,-288.0,-489.0
"(0,,)",-489.0,-289.0,-289.0,-291.0
"(0,,)",-291.0,-91.0,-489.0,-290.0
"(0,,)",-290.0,-90.0,-291.0,-289.0
"(0,,)",-289.0,-89.0,-290.0,-489.0
"(0,,)",-489.0,-289.0,-289.0,-291.0
"(0,,)",-291.0,-91.0,-489.0,-449.0
"(0,,)",-449.0,-249.0,-291.0,-249.0
"(0,,)",-249.0,-49.0,-449.0,-248.0
"(0,,)",-248.0,-48.0,-249.0,-247.0
"(0,,)",-247.0,-47.0,-248.0,-246.0
"(0,,)",-246.0,-46.0,-247.0,-245.0
"(0,,)",-245.0,-45.0,-246.0,-244.0
"(0,,)",-244.0,-44.0,-245.0,-243.0
"(0,,)",-243.0,-43.0,-244.0,-242.0
"(0,,)",-242.0,-42.0,-243.0,-241.0
"(0,,)",-241.0,-41.0,-242.0,-240.0
"(0,,)",-240.0,-40.0,-241.0,-239.0
"(0,,)",-239.0,-39.0,-240.0,-238.0
"(0,,)",-238.0,-38.0,-239.0,-237.0
"(0,,)",-237.0,-37.0,-238.0,-236.0
"(0,,)",-236.0,-36.0,-237.0,-235.0
"(0,,)",-235.0,-35.0,-236.0,-435.0
"(0,,)",-435.0,-235.0,-235.0,-237.0
"(0,,)",-237.0,-37.0,-435.0,-236.0
"(0,,)",-236.0,-36.0,-237.0,-235.0
"(0,,)",-235.0,-35.0,-236.0,-234.0
"(0,,)",-234.0,-34.0,-235.0,-233.0
"(0,,)",-233.0,-33.0,-234.0,-433.0
"(0,,)",-433.0,-233.0,-233.0,-239.0
"(0,,)",-239.0,-39.0,-433.0,-238.0
"(0,,)",-238.0,-38.0,-239.0,-237.0
"(0,,)",-237.0,-37.0,-238.0,-437.0
"(0,,)",-437.0,-237.0,-237.0,-239.0
"(0,,)",-239.0,-39.0,-437.0,-240.0
"(0,,)",-240.0,-40.0,-239.0,-241.0
"(0,,)",-241.0,-41.0,-240.0,-441.0
"(0,,)",-441.0,-241.0,-241.0,-441.0
"(1,,)",-487.0,-286.0,-287.0,-87.0
"(1,,)",-287.0,-86.0,-287.0,-88.0
"(1,,)",-288.0,-284.0,-87.0,-89.0
"(1,,)",-289.0,-283.0,-88.0,-289.0
"(1,,)",-489.0,-284.0,-89.0,-91.0
"(1,,)",-291.0,-285.0,-289.0,-90.0
"(1,,)",-290.0,-286.0,-91.0,-89.0
"(1,,)",-289.0,-88.0,-90.0,-289.0
"(1,,)",-489.0,-288.0,-89.0,-91.0
"(1,,)",-291.0,-90.0,-289.0,-249.0
"(1,,)",-449.0,-250.0,-91.0,-49.0
"(1,,)",-249.0,-50.0,-249.0,-48.0
"(1,,)",-248.0,-248.0,-49.0,-47.0
"(1,,)",-247.0,-247.0,-48.0,-46.0
"(1,,)",-246.0,-246.0,-47.0,-45.0
"(1,,)",-245.0,-245.0,-46.0,-44.0
"(1,,)",-244.0,-244.0,-45.0,-43.0
"(1,,)",-243.0,-243.0,-44.0,-42.0
"(1,,)",-242.0,-242.0,-43.0,-41.0
"(1,,)",-241.0,-241.0,-42.0,-40.0
"(1,,)",-240.0,-240.0,-41.0,-39.0
"(1,,)",-239.0,-239.0,-40.0,-38.0
"(1,,)",-238.0,-238.0,-39.0,-37.0
"(1,,)",-237.0,-237.0,-38.0,-36.0
"(1,,)",-236.0,-234.0,-37.0,-35.0
"(1,,)",-235.0,-34.0,-36.0,-235.0
"(1,,)",-435.0,-232.0,-35.0,-37.0
"(1,,)",-237.0,-231.0,-235.0,-36.0
"(1,,)",-236.0,-230.0,-37.0,-35.0
"(1,,)",-235.0,-229.0,-36.0,-34.0
"(1,,)",-234.0,-230.0,-35.0,-33.0
"(1,,)",-233.0,-32.0,-34.0,-233.0
"(1,,)",-433.0,-232.0,-33.0,-39.0
"(1,,)",-239.0,-233.0,-233.0,-38.0
"(1,,)",-238.0,-234.0,-39.0,-37.0
"(1,,)",-237.0,-36.0,-38.0,-237.0
"(1,,)",-437.0,-236.0,-37.0,-39.0
"(1,,)",-239.0,-38.0,-237.0,-40.0
"(1,,)",-240.0,-238.0,-39.0,-41.0
"(1,,)",-241.0,-239.0,-40.0,-241.0
"(1,,)",-441.0,-439.0,-41.0,-241.0
"(2,,)",-287.0,-285.0,-286.0,-86.0
"(2,,)",-87.0,-85.0,-286.0,-284.0
"(2,,)",-88.0,-84.0,-86.0,-283.0
"(2,,)",-89.0,-83.0,-284.0,-284.0
"(2,,)",-289.0,-84.0,-283.0,-285.0
"(2,,)",-91.0,-85.0,-284.0,-286.0
"(2,,)",-90.0,-86.0,-285.0,-88.0
"(2,,)",-89.0,-87.0,-286.0,-288.0
"(2,,)",-289.0,-88.0,-88.0,-90.0
"(2,,)",-91.0,-89.0,-288.0,-250.0
"(2,,)",-249.0,-251.0,-90.0,-50.0
"(2,,)",-49.0,-51.0,-250.0,-248.0
"(2,,)",-48.0,-52.0,-50.0,-247.0
"(2,,)",-47.0,-53.0,-248.0,-246.0
"(2,,)",-46.0,-54.0,-247.0,-245.0
"(2,,)",-45.0,-55.0,-246.0,-244.0
"(2,,)",-44.0,-56.0,-245.0,-243.0
"(2,,)",-43.0,-57.0,-244.0,-242.0
"(2,,)",-42.0,-58.0,-243.0,-241.0
"(2,,)",-41.0,-59.0,-242.0,-240.0
"(2,,)",-40.0,-259.0,-241.0,-239.0
"(2,,)",-39.0,-153.0,-240.0,-238.0
"(2,,)",-38.0,-353.0,-239.0,-237.0
"(2,,)",-37.0,-155.0,-238.0,-234.0
"(2,,)",-36.0,-233.0,-237.0,-34.0
"(2,,)",-35.0,-33.0,-234.0,-232.0
"(2,,)",-235.0,-32.0,-34.0,-231.0
"(2,,)",-37.0,-31.0,-232.0,-230.0
"(2,,)",-36.0,-30.0,-231.0,-229.0
"(2,,)",-35.0,-29.0,-230.0,-230.0
"(2,,)",-34.0,-30.0,-229.0,-32.0
"(2,,)",-33.0,-31.0,-230.0,-232.0
"(2,,)",-233.0,-32.0,-32.0,-233.0
"(2,,)",-39.0,-33.0,-232.0,-234.0
"(2,,)",-38.0,-34.0,-233.0,-36.0
"(2,,)",-37.0,-35.0,-234.0,-236.0
"(2,,)",-237.0,-36.0,-36.0,-38.0
"(2,,)",-39.0,-37.0,-236.0,-238.0
"(2,,)",-40.0,-38.0,-38.0,-239.0
"(2,,)",-41.0,-39.0,-238.0,-439.0
"(2,,)",-241.0,-239.0,-239.0,-439.0
"(3,,)",-286.0,-483.0,-285.0,-85.0
"(3,,)",-86.0,-283.0,-285.0,-84.0
"(3,,)",-284.0,-282.0,-85.0,-83.0
"(3,,)",-283.0,-82.0,-84.0,-84.0
"(3,,)",-284.0,-280.0,-83.0,-85.0
"(3,,)",-285.0,-279.0,-84.0,-86.0
"(3,,)",-286.0,-278.0,-85.0,-87.0
"(3,,)",-88.0,-277.0,-86.0,-88.0
"(3,,)",-288.0,-288.0,-87.0,-89.0
"(3,,)",-90.0,-90.0,-88.0,-251.0
"(3,,)",-250.0,-290.0,-89.0,-51.0
