,up,down,left,right
"(0,,)",-361.88928,-202.68928,-361.88928,-202.68928
"(0,,)",-202.3616,-3.3616,-361.88928,-202.3616
"(0,,)",-202.3616,-2.952,-202.68928,-201.952
"(0,,)",-201.44,-2.44,-202.3616,-201.952
"(0,,)",-201.952,-2.44,-201.952,-202.3616
"(0,,)",-201.952,-2.952,-201.44,-202.68928
"(0,,)",-202.68928,-3.3616,-202.3616,-202.951424
"(0,,)",-202.951424,-3.68928,-202.68928,-202.3616
"(0,,)",-202.3616,-3.3616,-201.952,-202.3616
"(0,,)",-202.3616,-2.952,-202.3616,-202.68928
"(0,,)",-202.68928,-3.3616,-202.3616,-202.3616
"(0,,)",-202.3616,-3.68928,-202.68928,-361.88928
"(0,,)",-361.88928,-202.951424,-202.3616,-361.88928
"(1,,)",-361.88928,-202.68928,-202.68928,-3.3616
"(1,,)",-202.68928,-3.3616,-202.68928,-2.952
"(1,,)",-202.3616,-202.3616,-3.3616,-3.3616
"(1,,)",-201.952,-202.68928,-3.68928,-2.952
"(1,,)",-201.952,-201.44,-3.3616,-2.44
"(1,,)",-202.3616,-202.3616,-2.44,-2.952
"(1,,)",-202.68928,-202.68928,-2.952,-3.68928
"(1,,)",-202.951424,-202.951424,-3.3616,-3.3616
"(1,,)",-201.44,-201.952,-3.3616,-2.952
"(1,,)",-202.3616,-2.44,-3.3616,-3.3616
"(1,,)",-201.952,-201.952,-2.952,-3.68928
"(1,,)",-202.3616,-3.68928,-3.3616,-202.951424
"(1,,)",-361.88928,-202.68928,-3.68928,-202.951424
"(2,,)",-202.3616,-202.3616,-202.68928,-3.3616
"(2,,)",-2.952,-2.952,-202.68928,-202.3616
"(2,,)",-2.952,-202.3616,-3.3616,-201.952
"(2,,)",-3.3616,-3.68928,-202.3616,-201.44
"(2,,)",-1.8,-3.3616,-202.68928,-202.3616
"(2,,)",-2.952,-2.952,-201.44,-202.68928
"(2,,)",-3.3616,-3.3616,-202.3616,-202.951424
"(2,,)",-3.68928,-3.68928,-202.68928,-201.952
"(2,,)",-2.952,-201.952,-202.951424,-3.3616
"(2,,)",-2.952,-2.952,-201.952,-201.952
"(2,,)",-3.3616,-201.44,-2.44,-3.68928
"(2,,)",-3.68928,-3.3616,-201.952,-202.68928
"(2,,)",-202.3616,-201.952,-3.3616,-202.68928
"(3,,)",-202.68928,-201.952,-200.0,-2.952
"(3,,)",-3.3616,-2.44,-202.3616,-202.3616
"(3,,)",-202.3616,-201.952,-2.952,-3.68928
"(3,,)",-201.952,-202.3616,-201.44,-3.3616
"(3,,)",-201.44,-202.68928,-3.68928,-2.952
"(3,,)",-202.3616,-202.3616,-3.3616,-3.3616
"(3,,)",-202.68928,-202.68928,-2.952,-3.68928
"(3,,)",-201.44,-3.3616,-3.3616,-201.952
"(3,,)",-201.952,-2.952,-3.68928,-2.44
"(3,,)",-2.44,-2.44,-201.952,-201.44
"(3,,)",-201.952,-201.952,-2.952,-3.3616
"(3,,)",-3.68928,-2.952,-201.44,-201.952
"(3,,)",-202.68928,-202.3616,-3.3616,-200.8
"(4,,)",-202.3616,-201.44,-201.952,-2.44
"(4,,)",-2.952,-1.8,-201.952,-201.952
"(4,,)",-202.3616,-2.44,-2.44,-202.3616
"(4,,)",-3.68928,-2.952,-201.952,-202.68928
"(4,,)",-3.3616,-3.3616,-202.3616,-202.3616
"(4,,)",-3.68928,-3.68928,-202.68928,-202.68928
"(4,,)",-3.3616,-202.3616,-202.3616,-3.3616
"(4,,)",-3.68928,-2.952,-201.952,-2.952
"(4,,)",-201.952,-2.44,-3.3616,-2.44
"(4,,)",-2.952,-1.8,-2.952,-201.952
"(4,,)",-201.44,-201.44,-2.44,-3.3616
"(4,,)",-3.3616,-3.3616,-201.952,-202.3616
"(4,,)",-201.952,-202.68928,-3.3616,-202.3616
"(5,,)",-201.952,-201.952,-201.44,-1.8
"(5,,)",-2.44,-2.44,-201.44,-2.44
"(5,,)",-201.952,-201.952,-1.8,-2.952
"(5,,)",-202.3616,-202.3616,-2.44,-3.3616
"(5,,)",-202.68928,-202.68928,-2.952,-3.68928
"(5,,)",-202.3616,-3.951424,-3.3616,-202.3616
"(5,,)",-201.952,-202.68928,-3.68928,-2.952
"(5,,)",-3.3616,-202.3616,-202.3616,-2.44
"(5,,)",-1.8,-201.952,-2.952,-1.8
"(5,,)",-1.0,-201.44,-2.44,-201.44
"(5,,)",-201.952,-202.68928,-1.8,-3.3616
"(5,,)",-2.952,-3.3616,-201.44,-202.68928
"(5,,)",-202.3616,-202.68928,-3.3616,-202.68928
"(6,,)",-201.44,-201.44,-201.952,-2.44
"(6,,)",-2.952,-1.8,-201.952,-200.8
"(6,,)",-2.44,-2.44,-2.44,-202.3616
"(6,,)",-2.952,-2.952,-201.952,-202.68928
"(6,,)",-3.3616,-202.3616,-202.3616,-3.951424
"(6,,)",-3.68928,-3.68928,-202.68928,-203.1611392
"(6,,)",-202.3616,-202.951424,-3.951424,-202.3616
"(6,,)",-2.952,-3.68928,-203.1611392,-201.952
"(6,,)",-2.44,-3.951424,-202.3616,-201.44
"(6,,)",-1.8,-4.1611392,-201.952,-202.68928
"(6,,)",-201.44,-3.3616,-201.44,-3.3616
"(6,,)",-3.3616,-2.952,-202.68928,-202.68928
"(6,,)",-202.68928,-202.951424,-3.3616,-202.68928
"(7,,)",-200.8,-201.952,-201.44,-1.8
"(7,,)",-2.44,-201.44,-201.44,-2.44
"(7,,)",-201.952,-201.952,-1.8,-2.952
"(7,,)",-202.3616,-3.3616,-2.44,-202.3616
"(7,,)",-202.68928,-202.68928,-2.952,-3.68928
"(7,,)",-3.3616,-202.951424,-202.3616,-202.951424
"(7,,)",-203.1611392,-202.68928,-3.68928,-3.68928
"(7,,)",-202.3616,-3.3616,-202.951424,-3.951424
"(7,,)",-201.952,-202.3616,-3.68928,-3.68928
"(7,,)",-201.44,-201.952,-3.951424,-3.951424
"(7,,)",-202.68928,-201.44,-3.68928,-3.68928
"(7,,)",-3.3616,-200.8,-3.3616,-202.951424
"(7,,)",-202.68928,-200.0,-3.68928,-201.952
"(8,,)",-201.44,-2.44,-201.952,-201.44
"(8,,)",-1.8,-3.3616,-201.952,-201.952
"(8,,)",-2.44,-3.3616,-201.44,-3.3616
"(8,,)",-2.952,-3.68928,-201.952,-202.68928
"(8,,)",-202.3616,-202.951424,-3.3616,-202.3616
"(8,,)",-3.68928,-3.68928,-202.68928,-202.68928
"(8,,)",-202.951424,-3.3616,-202.3616,-3.3616
"(8,,)",-3.68928,-2.952,-202.68928,-202.3616
"(8,,)",-3.3616,-2.952,-3.3616,-201.952
"(8,,)",-3.68928,-2.44,-202.3616,-201.44
"(8,,)",-3.951424,-1.8,-201.952,-200.8
"(8,,)",-3.68928,-1.0,-201.44,-200.0
"(8,,)",-201.952,0.0,-200.8,-200.0
"(9,,)",-201.952,-202.3616,-2.952,-3.3616
"(9,,)",-201.44,-202.68928,-3.3616,-3.951424
"(9,,)",-201.952,-202.951424,-3.68928,-3.68928
"(9,,)",-3.3616,-202.951424,-3.68928,-202.951424
"(9,,)",-202.68928,-361.152,-3.68928,-3.68928
"(9,,)",-202.3616,-202.951424,-202.951424,-3.3616
"(9,,)",-202.68928,-202.68928,-2.952,-3.3616
"(9,,)",-3.3616,-202.68928,-3.3616,-2.952
"(9,,)",-202.3616,-201.952,-3.3616,-2.44
"(9,,)",-201.952,-201.952,-2.44,-1.8
"(9,,)",-201.44,-201.44,-2.44,-1.0
"(9,,)",-200.8,-200.8,-1.8,0.0
"(9,,)",0.0,0.0,0.0,0.0
"(1,0)",-3.3616,-202.3616,-202.3616,-202.68928
"(1,0)",-3.3616,-202.68928,-202.3616,-202.68928
"(1,0)",-3.68928,-201.952,-202.68928,-202.951424
"(1,0)",-3.68928,-202.951424,-202.951424,-361.152
"(1,0)",-202.3616,-361.152,-202.951424,-201.44
"(1,0)",-3.68928,-202.951424,-361.152,-202.68928
"(1,0)",-3.3616,-202.68928,-202.3616,-202.3616
"(1,0)",-3.3616,-202.68928,-202.68928,-201.952
"(1,0)",-2.952,-201.952,-202.3616,-201.952
"(1,0)",-2.44,-201.952,-201.952,-201.44
"(1,0)",-1.8,-201.44,-201.952,-200.8
"(1,0)",-1.0,-200.0,-201.44,-200.0
"(1,0)",0.0,-200.0,-200.8,-200.0
